vendor_name,normalized,aggressive_normalized,invoice_count
North Iredeli Sanitation,NORTH IREDELI SANITATION,NORTH IREDELI SANITATION,1
City of Richmond,CITY OF RICHMOND,CITY OF RICHMOND,1
GFL GFL ENVIRONMENTAL,GFL GFL ENVIRONMENTAL,GFL GFL ENVIRONMENTAL,1
Richmond Sanitary,RICHMOND SANITARY,RICHMOND SANITARY,1
A Sani-Can Sanitation,A SANI-CAN SANITATION,A SANI CAN SANITATION,1
Official Corespondence Only -,OFFICIAL CORESPONDENCE ONLY -,OFFICIAL CORESPONDENCE ONLY,1
SANE CAN,SANE CAN,SANE CAN,1
Best Way - Burlington,BEST WAY - BURLINGTON,BEST WAY BURLINGTON,1
BEST WAY\nDISPOSAL,BEST WAY\NDISPOSAL,BEST WAY NDISPOSAL,1
Green OBKY,GREEN OBKY,GREEN OBKY,1
Waste of Henderson,WASTE OF HENDERSON,WASTE OF HENDERSON,1
County Fiscal Court,COUNTY FISCAL COURT,COUNTY FISCAL COURT,1
WASTE CONNECTIONS OF KY,WASTE CONNECTIONS OF KY,WASTE CONNECTIONS OF KY,1
Local waste Solutions,LOCAL WASTE SOLUTIONS,LOCAL WASTE SOLUTIONS,1
EF SALES LLC,EF SALES LLC,EF SALES,1
FOOMIE25WORLD,FOOMIE25WORLD,FOOMIE25WORLD,1
KN SERVING LLC,KN SERVING LLC,KN SERVING,1
Industrial Refuse,INDUSTRIAL REFUSE,INDUSTRIAL REFUSE,1
Haul Away,HAUL AWAY,HAUL AWAY,1
Hauler Information Raekar,HAULER INFORMATION RAEKAR,HAULER INFORMATION RAEKAR,1
Firs Piedmont,FIRS PIEDMONT,FIRS PIEDMONT,1
"Richardson Waste Services, LLC","RICHARDSON WASTE SERVICES, LLC",RICHARDSON WASTE SERVICES,1
Flood Brother's,FLOOD BROTHER'S,FLOOD BROTHER S,1
LANCE REFUSE SERVICE,LANCE REFUSE SERVICE,LANCE REFUSE SERVICE,1
Palm Springs Disposal,PALM SPRINGS DISPOSAL,PALM SPRINGS DISPOSAL,1
Burrtec Waste & Recycling,BURRTEC WASTE & RECYCLING,BURRTEC WASTE RECYCLING,1
Burrtec Waste & Recycling Services Wasteology Group,BURRTEC WASTE & RECYCLING SERVICES WASTEOLOGY GROUP,BURRTEC WASTE RECYCLING SERVICES WASTEOLOGY GROUP,1
SCHABEN SANITATION\nA WASTE CONNECTIONS COMPANY,SCHABEN SANITATION\NA WASTE CONNECTIONS COMPANY,SCHABEN SANITATION NA WASTE CONNECTIONS COMPANY,1
Basin Sanitation,BASIN SANITATION,BASIN SANITATION,1
Wasatch Integrated,WASATCH INTEGRATED,WASATCH INTEGRATED,1
Ada County Trash Billing,ADA COUNTY TRASH BILLING,ADA COUNTY TRASH BILLING,1
LDS FAMILY SERVICES,LDS FAMILY SERVICES,LDS FAMILY SERVICES,1
Junk Appliance,JUNK APPLIANCE,JUNK APPLIANCE,1
N. S. DISPOSAL SERVICE,N. S. DISPOSAL SERVICE,N S DISPOSAL SERVICE,1
"Waste Collection, Re","WASTE COLLECTION, RE",WASTE COLLECTION RE,1
Waste Resources Lynwood,WASTE RESOURCES LYNWOOD,WASTE RESOURCES LYNWOOD,1
Waste Resources\nLynwood,WASTE RESOURCES\NLYNWOOD,WASTE RESOURCES NLYNWOOD,1
RAMONA DIS,RAMONA DIS,RAMONA DIS,1
C.R.T.S.,C.R.T.S.,C R T S,1
CARDS CARDS DALLAS INC,CARDS CARDS DALLAS INC,CARDS CARDS DALLAS,1
CARDS DALLAS INC,CARDS DALLAS INC,CARDS DALLAS,1
BIG BEAR CITY Community Services District,BIG BEAR CITY COMMUNITY SERVICES DISTRICT,BIG BEAR CITY COMMUNITY SERVICES DISTRICT,1
Big Bear City,BIG BEAR CITY,BIG BEAR CITY,1
Big Bear Community Services,BIG BEAR COMMUNITY SERVICES,BIG BEAR COMMUNITY SERVICES,1
CITY Community Services,CITY COMMUNITY SERVICES,CITY COMMUNITY SERVICES,1
City of Orange,CITY OF ORANGE,CITY OF ORANGE,1
Martin's Trash,MARTIN'S TRASH,MARTIN S TRASH,1
Pelican\nWaste &,PELICAN\NWASTE &,PELICAN NWASTE,1
RIS LLC,RIS LLC,RIS,1
LAKETOWN WARD,LAKETOWN WARD,LAKETOWN WARD,1
RecologySonoma Marin,RECOLOGYSONOMA MARIN,RECOLOGYSONOMA MARIN,1
"Athens Services\nWaste Collection, Recycling &","ATHENS SERVICES\NWASTE COLLECTION, RECYCLING &",ATHENS SERVICES NWASTE COLLECTION RECYCLING,1
"Standing Rock Sanitation Service, Inc.","STANDING ROCK SANITATION SERVICE, INC.",STANDING ROCK SANITATION SERVICE,1
SOUTHEAST LAND,SOUTHEAST LAND,SOUTHEAST LAND,1
"Southland Environmental Services, Inc.","SOUTHLAND ENVIRONMENTAL SERVICES, INC.",SOUTHLAND ENVIRONMENTAL SERVICES,1
"WASTE MANAGEMENT OF WASHINGTON, INC.","WASTE MANAGEMENT OF WASHINGTON, INC.",WASTE MANAGEMENT OF WASHINGTON,1
White Mountain Apa,WHITE MOUNTAIN APA,WHITE MOUNTAIN APA,1
City of Dumas TE,CITY OF DUMAS TE,CITY OF DUMAS TE,1
PRYOR WASTE & RECYCLING LLC,PRYOR WASTE & RECYCLING LLC,PRYOR WASTE RECYCLING,1
"DEPARTMENT, UPS","DEPARTMENT, UPS",DEPARTMENT UPS,1
Anaconda Disposal Service,ANACONDA DISPOSAL SERVICE,ANACONDA DISPOSAL SERVICE,1
BOZEM,BOZEM,BOZEM,1
COASTAL ROLLOFF SERVICE A WASTE CONNECTIONS COMPANY,COASTAL ROLLOFF SERVICE A WASTE CONNECTIONS COMPANY,COASTAL ROLLOFF SERVICE A WASTE CONNECTIONS COMPANY,1
COASTAL ROLLOFF SERVICE\nA WASTE CONNECTIONS COMPANY,COASTAL ROLLOFF SERVICE\NA WASTE CONNECTIONS COMPANY,COASTAL ROLLOFF SERVICE NA WASTE CONNECTIONS COMPANY,1
"& SONS, INC","& SONS, INC",SONS,1
SANTA CLARA,SANTA CLARA,SANTA CLARA,1
CITY OF SANTA PAU,CITY OF SANTA PAU,CITY OF SANTA PAU,1
CITY OF GREAT Falls,CITY OF GREAT FALLS,CITY OF GREAT FALLS,1
CITY OF GREATEALLS CITY OF GREAT FALLS,CITY OF GREATEALLS CITY OF GREAT FALLS,CITY OF GREATEALLS CITY OF GREAT FALLS,1
CITY OF GREATEALS CITY OF GREAT FALLS,CITY OF GREATEALS CITY OF GREAT FALLS,CITY OF GREATEALS CITY OF GREAT FALLS,1
CITY OF GREATENIES,CITY OF GREATENIES,CITY OF GREATENIES,1
GREATENS UTILITIES,GREATENS UTILITIES,GREATENS UTILITIES,1
Tri County Disposal,TRI COUNTY DISPOSAL,TRI COUNTY DISPOSAL,1
", Inc.",", INC.",,1
OUNTY RICH,OUNTY RICH,OUNTY RICH,1
RICH Rich County,RICH RICH COUNTY,RICH RICH COUNTY,1
Walker Laked Disposal,WALKER LAKED DISPOSAL,WALKER LAKED DISPOSAL,1
Rich County Sanitation Invoice,RICH COUNTY SANITATION INVOICE,RICH COUNTY SANITATION INVOICE,1
City of Enumclaw DO,CITY OF ENUMCLAW DO,CITY OF ENUMCLAW DO,1
Indian Waste,INDIAN WASTE,INDIAN WASTE,1
Myers Container,MYERS CONTAINER,MYERS CONTAINER,1
DUMONTELLE,DUMONTELLE,DUMONTELLE,1
Adams,ADAMS,ADAMS,1
Adens,ADENS,ADENS,1
"CONSOLIDATED DISPOSAL Grant SERVICES, INC.","CONSOLIDATED DISPOSAL GRANT SERVICES, INC.",CONSOLIDATED DISPOSAL GRANT SERVICES,1
Consolidated Disposal,CONSOLIDATED DISPOSAL,CONSOLIDATED DISPOSAL,1
Grant Adams,GRANT ADAMS,GRANT ADAMS,1
ABERDEEN SANITATION CO.,ABERDEEN SANITATION CO.,ABERDEEN SANITATION,1
PREMIER\nDISPOSAL,PREMIER\NDISPOSAL,PREMIER NDISPOSAL,1
CHURCH OF LDS,CHURCH OF LDS,CHURCH OF LDS,1
ROBERTS Enterprises,ROBERTS ENTERPRISES,ROBERTS ENTERPRISES,1
"ROBERTS ENTERPRISES, INC.","ROBERTS ENTERPRISES, INC.",ROBERTS ENTERPRISES,1
Rppseve;t City,RPPSEVE;T CITY,RPPSEVE T CITY,1
"VELT, UT","VELT, UT",VELT UT,1
WASTE OLOGY (LDS),WASTE OLOGY (LDS),WASTE OLOGY LDS,1
City of Kaysville,CITY OF KAYSVILLE,CITY OF KAYSVILLE,1
Kaysville,KAYSVILLE,KAYSVILLE,1
Federal International Recycling,FEDERAL INTERNATIONAL RECYCLING,FEDERAL INTERNATIONAL RECYCLING,1
CR Sanitary Landffill,CR SANITARY LANDFFILL,CR SANITARY LANDFFILL,1
CR SANITARY LANDFILL,CR SANITARY LANDFILL,CR SANITARY LANDFILL,1
"ALASKA WASTE-KENAI PENINSULA, LLC","ALASKA WASTE-KENAI PENINSULA, LLC",ALASKA WASTE KENAI PENINSULA,1
WAYNE COUNTY UTAH,WAYNE COUNTY UTAH,WAYNE COUNTY UTAH,1
Pahrump Valley Disposal,PAHRUMP VALLEY DISPOSAL,PAHRUMP VALLEY DISPOSAL,1
D & S Disposal,D & S DISPOSAL,D S DISPOSAL,1
D & S Waste,D & S WASTE,D S WASTE,1
WASTE DISPOSAL BILL,WASTE DISPOSAL BILL,WASTE DISPOSAL BILL,1
"Waste Collection, Recyclin","WASTE COLLECTION, RECYCLIN",WASTE COLLECTION RECYCLIN,1
IDAHO FALLS City of Idaho Falls,IDAHO FALLS CITY OF IDAHO FALLS,IDAHO FALLS CITY OF IDAHO FALLS,1
Wayne County Sanitation,WAYNE COUNTY SANITATION,WAYNE COUNTY SANITATION,1
Rock Ridge,ROCK RIDGE,ROCK RIDGE,1
Toole County Solid Waste,TOOLE COUNTY SOLID WASTE,TOOLE COUNTY SOLID WASTE,1
Topale County Solid Waste,TOPALE COUNTY SOLID WASTE,TOPALE COUNTY SOLID WASTE,1
County Solid Waste,COUNTY SOLID WASTE,COUNTY SOLID WASTE,1
City of Roosvelt City,CITY OF ROOSVELT CITY,CITY OF ROOSVELT CITY,1
ROOST VELT CITY DOSEVELT CITY,ROOST VELT CITY DOSEVELT CITY,ROOST VELT CITY DOSEVELT CITY,1
SEVELT CITY,SEVELT CITY,SEVELT CITY,1
Countryside Dispsoal,COUNTRYSIDE DISPSOAL,COUNTRYSIDE DISPSOAL,1
Vanderpoel,VANDERPOEL,VANDERPOEL,1
DECEMBER,DECEMBER,DECEMBER,1
Services\nLLC,SERVICES\NLLC,SERVICES NLLC,1
Marshalltown,MARSHALLTOWN,MARSHALLTOWN,1
Moler,MOLER,MOLER,1
Brothers Disposai,BROTHERS DISPOSAI,BROTHERS DISPOSAI,1
Friendman Recycling,FRIENDMAN RECYCLING,FRIENDMAN RECYCLING,1
Hamilton Recycling,HAMILTON RECYCLING,HAMILTON RECYCLING,1
Walters recycling & refuse,WALTERS RECYCLING & REFUSE,WALTERS RECYCLING REFUSE,1
Jay Mecham's Country,JAY MECHAM'S COUNTRY,JAY MECHAM S COUNTRY,1
Jay's Mecham's,JAY'S MECHAM'S,JAY S MECHAM S,1
CITY OF BLACK,CITY OF BLACK,CITY OF BLACK,1
CHURCH OF LATTER DAY SAINT,CHURCH OF LATTER DAY SAINT,CHURCH OF LATTER DAY SAINT,1
5062055-01-01 - Animas,5062055-01-01 - ANIMAS,5062055 01 01 ANIMAS,1
At You Disposal,AT YOU DISPOSAL,AT YOU DISPOSAL,1
At Your Disposal,AT YOUR DISPOSAL,AT YOUR DISPOSAL,1
At Your Disposal Solid Waste Removal,AT YOUR DISPOSAL SOLID WASTE REMOVAL,AT YOUR DISPOSAL SOLID WASTE REMOVAL,1
SOUTHWEST DISPOSAL ROSWELL A WASTE CONNECTIONS COMPANY,SOUTHWEST DISPOSAL ROSWELL A WASTE CONNECTIONS COMPANY,SOUTHWEST DISPOSAL ROSWELL A WASTE CONNECTIONS COMPANY,1
SOUTHWEST DISPOSAL ROSWELL,SOUTHWEST DISPOSAL ROSWELL,SOUTHWEST DISPOSAL ROSWELL,1
CSD DISPOSAL,CSD DISPOSAL,CSD DISPOSAL,1
WASTE AND RECYCLING SERVICES,WASTE AND RECYCLING SERVICES,WASTE AND RECYCLING SERVICES,1
CONTROL RUBBAGE,CONTROL RUBBAGE,CONTROL RUBBAGE,1
BELMONT WASTE,BELMONT WASTE,BELMONT WASTE,1
ARIZONA,ARIZONA,ARIZONA,1
City of Lordsburg NM,CITY OF LORDSBURG NM,CITY OF LORDSBURG NM,1
LORDSBURG,LORDSBURG,LORDSBURG,1
TOMORROW RDS LLC,TOMORROW RDS LLC,TOMORROW RDS,1
Sanitation Inc,SANITATION INC,SANITATION,1
S -SANITATION LLC-,S -SANITATION LLC-,S SANITATION,1
SULPHUR SPRINGS\n-SANITATION LLC-,SULPHUR SPRINGS\N-SANITATION LLC-,SULPHUR SPRINGS N SANITATION,1
Sulphur Springs Sanitation,SULPHUR SPRINGS SANITATION,SULPHUR SPRINGS SANITATION,1
HONOLULU DISPOSAL,HONOLULU DISPOSAL,HONOLULU DISPOSAL,1
Blossom by Blossom as Spring Begins,BLOSSOM BY BLOSSOM AS SPRING BEGINS,BLOSSOM BY BLOSSOM AS SPRING BEGINS,1
. Anthony,. ANTHONY,ANTHONY,1
Bonnie Fitterer LLP,BONNIE FITTERER LLP,BONNIE FITTERER LLP,1
Burrtec Waste,BURRTEC WASTE,BURRTEC WASTE,1
Romana Waste,ROMANA WASTE,ROMANA WASTE,1
Romona Disposal,ROMONA DISPOSAL,ROMONA DISPOSAL,1
Texas E Mount Houston H,TEXAS E MOUNT HOUSTON H,TEXAS E MOUNT HOUSTON H,1
American Disposal,AMERICAN DISPOSAL,AMERICAN DISPOSAL,1
Hauler Information American Disposal,HAULER INFORMATION AMERICAN DISPOSAL,HAULER INFORMATION AMERICAN DISPOSAL,1
KOHLMORGAN\nHAULING,KOHLMORGAN\NHAULING,KOHLMORGAN NHAULING,1
Northend Disposal\nA Waste Connections Company,NORTHEND DISPOSAL\NA WASTE CONNECTIONS COMPANY,NORTHEND DISPOSAL NA WASTE CONNECTIONS COMPANY,1
Refuse and Recycling,REFUSE AND RECYCLING,REFUSE AND RECYCLING,1
"University Place Refuse Service, Inc.","UNIVERSITY PLACE REFUSE SERVICE, INC.",UNIVERSITY PLACE REFUSE SERVICE,1
UNIVERSITYPLACE,UNIVERSITYPLACE,UNIVERSITYPLACE,1
Based in Estes Park Colorado,BASED IN ESTES PARK COLORADO,BASED IN ESTES PARK COLORADO,1
Box Tracker,BOX TRACKER,BOX TRACKER,1
BOXTRACKER,BOXTRACKER,BOXTRACKER,1
Superior Trash,SUPERIOR TRASH,SUPERIOR TRASH,1
Superior Trash Co,SUPERIOR TRASH CO,SUPERIOR TRASH,1
EDCO DIS,EDCO DIS,EDCO DIS,1
EDS DISPOSAL INC,EDS DISPOSAL INC,EDS DISPOSAL,1
Canyon Lands Solid Waste,CANYON LANDS SOLID WASTE,CANYON LANDS SOLID WASTE,1
Canyonland Solid Waste,CANYONLAND SOLID WASTE,CANYONLAND SOLID WASTE,1
Canyonlands Solid Waste,CANYONLANDS SOLID WASTE,CANYONLANDS SOLID WASTE,1
ITATION A WASTE CONNECTIONS COMPANY,ITATION A WASTE CONNECTIONS COMPANY,ITATION A WASTE CONNECTIONS COMPANY,1
CRIS'S JUNK HAULING SERVICES,CRIS'S JUNK HAULING SERVICES,CRIS S JUNK HAULING SERVICES,1
CITY OF GREATEATES,CITY OF GREATEATES,CITY OF GREATEATES,1
ILITIES DEPARTMENT,ILITIES DEPARTMENT,ILITIES DEPARTMENT,1
Southwest Disposal ALAMOGORDO A,SOUTHWEST DISPOSAL ALAMOGORDO A,SOUTHWEST DISPOSAL ALAMOGORDO A,1
CHURCH OF LATTER DAY SAINTS METER READING,CHURCH OF LATTER DAY SAINTS METER READING,CHURCH OF LATTER DAY SAINTS METER READING,1
ALUDOU CHURCH OF LATTER DAY SAINTS,ALUDOU CHURCH OF LATTER DAY SAINTS,ALUDOU CHURCH OF LATTER DAY SAINTS,1
Baidbridge Disposal,BAIDBRIDGE DISPOSAL,BAIDBRIDGE DISPOSAL,1
MORRO BAY GARBAGE SERVICE A WASTE CONNECTIONS COMPANY,MORRO BAY GARBAGE SERVICE A WASTE CONNECTIONS COMPANY,MORRO BAY GARBAGE SERVICE A WASTE CONNECTIONS COMPANY,1
MORRO BAY GARBAGE SERVICE,MORRO BAY GARBAGE SERVICE,MORRO BAY GARBAGE SERVICE,1
WASTEOLOGY GROUP,WASTEOLOGY GROUP,WASTEOLOGY GROUP,1
00SEVELT CITY,00SEVELT CITY,00SEVELT CITY,1
Roos 00SEVELT CITY,ROOS 00SEVELT CITY,ROOS 00SEVELT CITY,1
ROOSEVELT,ROOSEVELT,ROOSEVELT,1
"ROOSEVELT, UT","ROOSEVELT, UT",ROOSEVELT UT,1
Banela Ju,BANELA JU,BANELA JU,1
Barela,BARELA,BARELA,1
Barela Junk,BARELA JUNK,BARELA JUNK,1
Asa County,ASA COUNTY,ASA COUNTY,1
Board of Public,BOARD OF PUBLIC,BOARD OF PUBLIC,1
Murrey's Disposal,MURREY'S DISPOSAL,MURREY S DISPOSAL,1
AAA\nDISPOSAL SERVICE,AAA\NDISPOSAL SERVICE,AAA NDISPOSAL SERVICE,1
Go Services,GO SERVICES,GO SERVICES,1
Overton Recycling,OVERTON RECYCLING,OVERTON RECYCLING,1
City of Azt,CITY OF AZT,CITY OF AZT,1
City of Aztec Utility,CITY OF AZTEC UTILITY,CITY OF AZTEC UTILITY,1
"HMP, Inc Business Service Hawaii","HMP, INC BUSINESS SERVICE HAWAII",HMP BUSINESS SERVICE HAWAII,1
Dirty Boyz Sanitation,DIRTY BOYZ SANITATION,DIRTY BOYZ SANITATION,1
"Alaska Waste Mat-Su, LLC","ALASKA WASTE MAT-SU, LLC",ALASKA WASTE MAT SU,1
Alaska Waste\nAlaska Waste,ALASKA WASTE\NALASKA WASTE,ALASKA WASTE NALASKA WASTE,1
APPROVED LARIMER COUNTY LANDFILL FEE SCHEDULE (,APPROVED LARIMER COUNTY LANDFILL FEE SCHEDULE (,APPROVED LARIMER COUNTY LANDFILL FEE SCHEDULE,1
UNITED STATES\nDISPOSAL SERVICE,UNITED STATES\NDISPOSAL SERVICE,UNITED STATES NDISPOSAL SERVICE,1
P&S Trucking,P&S TRUCKING,P S TRUCKING,1
METHOW VALLEY SANITATION,METHOW VALLEY SANITATION,METHOW VALLEY SANITATION,1
WASTEWISE,WASTEWISE,WASTEWISE,1
WASTEWISE METHOW DBA Waste Wise Methow,WASTEWISE METHOW DBA WASTE WISE METHOW,WASTEWISE METHOW DBA WASTE WISE METHOW,1
Idaho Falls,IDAHO FALLS,IDAHO FALLS,1
UTILITIES City of Idaho Falls,UTILITIES CITY OF IDAHO FALLS,UTILITIES CITY OF IDAHO FALLS,1
ORLANDO HAULING,ORLANDO HAULING,ORLANDO HAULING,1
ENVIRONMENTAL SERVICES,ENVIRONMENTAL SERVICES,ENVIRONMENTAL SERVICES,1
North County Clean Up,NORTH COUNTY CLEAN UP,NORTH COUNTY CLEAN UP,1
"EJ HARRISON & SONS, INC","EJ HARRISON & SONS, INC",EJ HARRISON SONS,1
SOUTHWEST DISPOSAL CA,SOUTHWEST DISPOSAL CA,SOUTHWEST DISPOSAL CA,1
Bud's clean Up,BUD'S CLEAN UP,BUD S CLEAN UP,1
Bud's Cleanup Service,BUD'S CLEANUP SERVICE,BUD S CLEANUP SERVICE,1
OSEVELT CITY,OSEVELT CITY,OSEVELT CITY,1
ROOS OOSEVELT CITY,ROOS OOSEVELT CITY,ROOS OOSEVELT CITY,1
ROOSE DOSEVELT CITY,ROOSE DOSEVELT CITY,ROOSE DOSEVELT CITY,1
MARS MIDWEST AREA REFUSE SOLUTIONS,MARS MIDWEST AREA REFUSE SOLUTIONS,MARS MIDWEST AREA REFUSE SOLUTIONS,1
EORTHWISE,EORTHWISE,EORTHWISE,1
The Good Guys,THE GOOD GUYS,THE GOOD GUYS,1
LDS CHURCH,LDS CHURCH,LDS CHURCH,1
WM OF TULSA,WM OF TULSA,WM OF TULSA,1
"J. HARRISON & SONS, INC","J. HARRISON & SONS, INC",J HARRISON SONS,1
SHENANDOAH SANITATION A WASTE CONNECTIONS COMPANY,SHENANDOAH SANITATION A WASTE CONNECTIONS COMPANY,SHENANDOAH SANITATION A WASTE CONNECTIONS COMPANY,1
SHENANDOAH SANITATION,SHENANDOAH SANITATION,SHENANDOAH SANITATION,1
SANTA CLARA VALLEY,SANTA CLARA VALLEY,SANTA CLARA VALLEY,1
SANTA CLARA VALLEY DISP,SANTA CLARA VALLEY DISP,SANTA CLARA VALLEY DISP,1
Larue Sanitary Service,LARUE SANITARY SERVICE,LARUE SANITARY SERVICE,1
Cards,CARDS,CARDS,1
Bitter Root Disposal,BITTER ROOT DISPOSAL,BITTER ROOT DISPOSAL,1
"Jon's Refuse Solutions, Inc","JON'S REFUSE SOLUTIONS, INC",JON S REFUSE SOLUTIONS,1
LRS Recycles,LRS RECYCLES,LRS RECYCLES,1
OMAHAWK,OMAHAWK,OMAHAWK,1
Tomahawk,TOMAHAWK,TOMAHAWK,1
J&J SANITATION DISTRICT 3051,J&J SANITATION DISTRICT 3051,J J SANITATION DISTRICT 3051,1
J&J SANITATION,J&J SANITATION,J J SANITATION,1
City of Ketchi,CITY OF KETCHI,CITY OF KETCHI,1
City of Ketchikan,CITY OF KETCHIKAN,CITY OF KETCHIKAN,1
MIDWEST sanitation,MIDWEST SANITATION,MIDWEST SANITATION,1
WASTE DIS,WASTE DIS,WASTE DIS,1
Grand Junction COLORADO,GRAND JUNCTION COLORADO,GRAND JUNCTION COLORADO,1
SULPHUR SPRINGS SANITATION LLC-,SULPHUR SPRINGS SANITATION LLC-,SULPHUR SPRINGS SANITATION,1
STUTZMAN REFUSE DISPOSAL A WASTE CONNECTIONS COMPANY,STUTZMAN REFUSE DISPOSAL A WASTE CONNECTIONS COMPANY,STUTZMAN REFUSE DISPOSAL A WASTE CONNECTIONS COMPANY,1
MIKE'S RU,MIKE'S RU,MIKE S RU,1
Mike's Rubbi,MIKE'S RUBBI,MIKE S RUBBI,1
532-0803\nUnited Waste Systems,532-0803\NUNITED WASTE SYSTEMS,532 0803 NUNITED WASTE SYSTEMS,1
970-532-0803 United Waste Systems,970-532-0803 UNITED WASTE SYSTEMS,970 532 0803 UNITED WASTE SYSTEMS,1
ALASKA WASTE - KODIAK,ALASKA WASTE - KODIAK,ALASKA WASTE KODIAK,1
Emmett Sanitation Services,EMMETT SANITATION SERVICES,EMMETT SANITATION SERVICES,1
City of Gaines,CITY OF GAINES,CITY OF GAINES,1
Gainesville,GAINESVILLE,GAINESVILLE,1
Steve's Santaton,STEVE'S SANTATON,STEVE S SANTATON,1
Brannon Industrial Group,BRANNON INDUSTRIAL GROUP,BRANNON INDUSTRIAL GROUP,1
CHURCH OF JESUS CHRIST,CHURCH OF JESUS CHRIST,CHURCH OF JESUS CHRIST,1
"WESTSIDE DISPOSAL SERVICES, INC","WESTSIDE DISPOSAL SERVICES, INC",WESTSIDE DISPOSAL SERVICES,1
"Burrtec Waste Services, LLC","BURRTEC WASTE SERVICES, LLC",BURRTEC WASTE SERVICES,1
Chism's Trash,CHISM'S TRASH,CHISM S TRASH,1
Sulpher Springs,SULPHER SPRINGS,SULPHER SPRINGS,1
Best Clearier Disposal Inc.,BEST CLEARIER DISPOSAL INC.,BEST CLEARIER DISPOSAL,1
HILL COUNTRY WASTE,HILL COUNTRY WASTE,HILL COUNTRY WASTE,1
"Hauler Information Liberty Disposal, Inc.-AZ","HAULER INFORMATION LIBERTY DISPOSAL, INC.-AZ",HAULER INFORMATION LIBERTY DISPOSAL AZ,1
GFL 3755,GFL 3755,GFL 3755,1
Town of Jordan,TOWN OF JORDAN,TOWN OF JORDAN,1
Miller & Sons Disposal,MILLER & SONS DISPOSAL,MILLER SONS DISPOSAL,1
Miller and Sons,MILLER AND SONS,MILLER AND SONS,1
Miller and Sons Dis,MILLER AND SONS DIS,MILLER AND SONS DIS,1
Miller and Sons Disposal,MILLER AND SONS DISPOSAL,MILLER AND SONS DISPOSAL,1
RUNNING NORMAL ROUTES,RUNNING NORMAL ROUTES,RUNNING NORMAL ROUTES,1
Harter's Lakeside,HARTER'S LAKESIDE,HARTER S LAKESIDE,1
City of MOUNT,CITY OF MOUNT,CITY OF MOUNT,1
City of Mount,CITY OF MOUNT,CITY OF MOUNT,1
City of Mount Vernon,CITY OF MOUNT VERNON,CITY OF MOUNT VERNON,1
Best Cleaner Dis,BEST CLEANER DIS,BEST CLEANER DIS,1
Best Cleaner Disposai ihc.,BEST CLEANER DISPOSAI IHC.,BEST CLEANER DISPOSAI IHC,1
"MDS Waste & Recycle, INC","MDS WASTE & RECYCLE, INC",MDS WASTE RECYCLE,1
Trash Hauling,TRASH HAULING,TRASH HAULING,1
City of Oxnard,CITY OF OXNARD,CITY OF OXNARD,1
ADVANCE\nDISPOSAL CO.,ADVANCE\NDISPOSAL CO.,ADVANCE NDISPOSAL,1
Idaho falls Utilities,IDAHO FALLS UTILITIES,IDAHO FALLS UTILITIES,1
APEX\nWASTE SOLUTIONS,APEX\NWASTE SOLUTIONS,APEX NWASTE SOLUTIONS,1
"City of Upland C/O Burrtec Waste Industries, Inc.","CITY OF UPLAND C/O BURRTEC WASTE INDUSTRIES, INC.",CITY OF UPLAND C O BURRTEC WASTE INDUSTRIES,1
"CITY OF UPLAND\nc/o Burrtec Waste Industries, Inc.","CITY OF UPLAND\NC/O BURRTEC WASTE INDUSTRIES, INC.",CITY OF UPLAND NC O BURRTEC WASTE INDUSTRIES,1
Apple Valley,APPLE VALLEY,APPLE VALLEY,1
City of Tuscon,CITY OF TUSCON,CITY OF TUSCON,1
THE CHURCH OF LDS,THE CHURCH OF LDS,THE CHURCH OF LDS,1
& Recycling Services,& RECYCLING SERVICES,RECYCLING SERVICES,1
FOR GARBAGE COLLECTION SERVICE,FOR GARBAGE COLLECTION SERVICE,FOR GARBAGE COLLECTION SERVICE,1
SOLID WASTE DISPOSAL,SOLID WASTE DISPOSAL,SOLID WASTE DISPOSAL,1
A LOCALLY OWNED COMPANY,A LOCALLY OWNED COMPANY,A LOCALLY OWNED COMPANY,1
Ibs WE LLC,IBS WE LLC,IBS WE,1
Lollar Junk,LOLLAR JUNK,LOLLAR JUNK,1
Cit of Great Falls,CIT OF GREAT FALLS,CIT OF GREAT FALLS,1
CITY OF GREAT ATEALS,CITY OF GREAT ATEALS,CITY OF GREAT ATEALS,1
CITY OF GREAT FALLS,CITY OF GREAT FALLS,CITY OF GREAT FALLS,1
CITY OF GREATFALLS CITY OF GREAT FALLS,CITY OF GREATFALLS CITY OF GREAT FALLS,CITY OF GREATFALLS CITY OF GREAT FALLS,1
CITY OF GREATFALLS CITY OF GREAT FALLSUTILITIES DEPARTMENT,CITY OF GREATFALLS CITY OF GREAT FALLSUTILITIES DEPARTMENT,CITY OF GREATFALLS CITY OF GREAT FALLSUTILITIES DEPARTMENT,1
Wasatch County Solid waste,WASATCH COUNTY SOLID WASTE,WASATCH COUNTY SOLID WASTE,1
Wastach,WASTACH,WASTACH,1
Tooele County Solid Waste COUNTY,TOOELE COUNTY SOLID WASTE COUNTY,TOOELE COUNTY SOLID WASTE COUNTY,1
TOOELE County Solid Waste,TOOELE COUNTY SOLID WASTE,TOOELE COUNTY SOLID WASTE,1
Toole County,TOOLE COUNTY,TOOLE COUNTY,1
JLL First Horizon % Wasteology,JLL FIRST HORIZON % WASTEOLOGY,JLL FIRST HORIZON WASTEOLOGY,1
